Year,WeekNumber,AllDeaths
2015,40,50950
2015,41,49830
2015,42,50667
2015,43,50384
2015,44,51158
2015,45,50668
2015,46,51387
2015,47,51196
2015,48,51996
2015,49,53556
2015,50,51842
2015,51,52761
2015,52,52490
2016,1,55788
2016,2,55525
2016,3,55182
2016,4,55606
2016,5,54896
2016,6,55106
2016,7,55785
2016,8,54873
2016,9,55875
2016,10,56112
2016,11,54462
2016,12,54662
2016,13,53880
2016,14,54066
2016,15,53490
2016,16,53149
2016,17,51027
2016,18,51270
2016,19,51000
2016,20,50469
2016,21,50490
2016,22,49711
2016,23,49917
2016,24,49910
2016,25,49623
2016,26,49746
2016,27,49698
2016,28,49637
2016,29,49275
2016,30,49698
2016,31,49505
2016,32,49740
2016,33,49809
2016,34,49509
2016,35,49576
2016,36,50075
2016,37,49915
2016,38,49876
2016,39,50254
2016,40,51400
2016,41,52124
2016,42,51436
2016,43,51864
2016,44,51741
2016,45,52524
2016,46,53442
2016,47,53128
2016,48,54496
2016,49,55133
2016,50,55977
2016,51,56696
2016,52,57613
2017,1,59763
2017,2,60980
2017,3,59293
2017,4,58047
2017,5,58432
2017,6,59038
2017,7,58479
2017,8,58288
2017,9,57256
2017,10,57477
2017,11,56656
2017,12,57045
2017,13,55703
2017,14,55160
2017,15,54861
2017,16,53070
2017,17,53295
2017,18,52657
2017,19,51985
2017,20,52480
2017,21,50972
2017,22,51256
2017,23,51418
2017,24,50797
2017,25,51195
2017,26,50617
2017,27,50959
2017,28,49973
2017,29,50127
2017,30,49362
2017,31,50087
2017,32,50237
2017,33,50185
2017,34,49517
2017,35,50832
2017,36,50979
2017,37,51694
2017,38,51229
2017,39,51342
2017,40,52107
2017,41,51577
2017,42,52222
2017,43,52543
2017,44,53667
2017,45,53240
2017,46,53767
2017,47,54120
2017,48,54760
2017,49,55595
2017,50,57370
2017,51,59505
2017,52,61090
2018,1,66134
2018,2,67495
2018,3,64647
2018,4,62780
2018,5,60974
2018,6,61110
2018,7,59779
2018,8,57793
2018,9,56692
2018,10,57093
2018,11,56326
2018,12,55766
2018,13,54918
2018,14,55294
2018,15,55228
2018,16,54038
2018,17,53727
2018,18,53741
2018,19,52105
2018,20,50618
2018,21,50929
2018,22,51045
2018,23,52001
2018,24,51387
2018,25,51044
2018,26,50855
2018,27,51684
2018,28,51191
2018,29,50609
2018,30,50274
2018,31,50637
2018,32,50967
2018,33,50301
2018,34,50459
2018,35,50611
2018,36,50299
2018,37,51083
2018,38,51583
2018,39,50959
2018,40,52357
2018,41,51849
2018,42,52979
2018,43,53763
2018,44,53638
2018,45,53561
2018,46,54698
2018,47,54847
2018,48,55060
2018,49,55967
2018,50,56387
2018,51,56528
2018,52,56026
2019,1,58287
2019,2,58350
2019,3,58193
2019,4,57831
2019,5,58122
2019,6,58489
2019,7,57915
2019,8,57856
2019,9,57914
2019,10,58487
2019,11,57869
2019,12,57085
2019,13,56670
2019,14,56593
2019,15,55469
2019,16,54450
2019,17,53617
2019,18,53967
2019,19,53452
2019,20,53549
2019,21,53665
2019,22,52692
2019,23,53111
2019,24,52619
2019,25,52264
2019,26,52180
2019,27,52327
2019,28,51906
2019,29,51615
2019,30,51600
2019,31,51347
2019,32,51639
2019,33,50921
2019,34,50957
2019,35,51106
2019,36,51770
2019,37,51534
2019,38,51661
2019,39,52664
2019,40,52444
2019,41,52858
2019,42,54120
2019,43,53906
2019,44,53971
2019,45,55460
2019,46,55679
2019,47,55976
2019,48,55225
2019,49,56974
2019,50,57246
2019,51,56970
2019,52,57921
2020,1,58822
2020,2,58670
2020,3,56942
2020,4,56111
2020,5,54926
2020,6,55054
2020,7,53647
2020,8,52985
2020,9,51721
2020,10,47917
2020,11,37641
